,Idx,Open,High,Low,Close,Volume,Date
196,196,107.913,108.14,107.8688,108.14,3351,2021-01-21 10:16:00-05:00
197,197,108.15,108.15,108.01,108.12,12132,2021-01-21 10:17:00-05:00
198,198,108.18,108.24,108.125,108.23,4596,2021-01-21 10:18:00-05:00
199,199,108.27,108.31,108.22,108.25,5169,2021-01-21 10:19:00-05:00
200,200,108.27,108.37,108.22,108.37,6079,2021-01-21 10:20:00-05:00
201,201,108.505,108.54,108.35,108.36,6855,2021-01-21 10:21:00-05:00
202,202,108.37,108.6085,108.365,108.6085,4135,2021-01-21 10:22:00-05:00
203,203,108.58,108.9,108.58,108.85,5231,2021-01-21 10:23:00-05:00
204,204,108.79,108.95,108.7497,108.7497,5782,2021-01-21 10:24:00-05:00
205,205,108.77,108.93,108.72,108.72,16622,2021-01-21 10:25:00-05:00
206,206,108.78,108.8,108.63,108.64,13258,2021-01-21 10:26:00-05:00
207,207,108.64,108.85,108.64,108.85,21650,2021-01-21 10:27:00-05:00
208,208,108.8,108.9,108.76,108.875,15937,2021-01-21 10:28:00-05:00
209,209,108.9,108.91,108.69,108.71,5827,2021-01-21 10:29:00-05:00
210,210,108.73,108.79,108.4058,108.44,9057,2021-01-21 10:30:00-05:00
211,211,108.515,108.6,108.515,108.54,2540,2021-01-21 10:31:00-05:00
212,212,108.49,108.55,108.42,108.51,1100,2021-01-21 10:32:00-05:00
213,213,108.59,108.64,108.54,108.57,7398,2021-01-21 10:33:00-05:00
214,214,108.56,108.6,108.52,108.52,2224,2021-01-21 10:34:00-05:00
215,215,108.41,108.41,108.27,108.27,1720,2021-01-21 10:35:00-05:00
216,216,108.305,108.305,108.135,108.28,3311,2021-01-21 10:36:00-05:00
217,217,108.235,108.4,108.235,108.36,21776,2021-01-21 10:37:00-05:00
218,218,108.3,108.435,108.2683,108.31,8117,2021-01-21 10:38:00-05:00
219,219,108.31,108.33,108.285,108.325,3200,2021-01-21 10:39:00-05:00
220,220,108.36,108.38,108.29,108.29,4399,2021-01-21 10:40:00-05:00
221,221,108.28,108.31,108.15,108.15,2854,2021-01-21 10:41:00-05:00
222,222,108.13,108.22,108.04,108.22,2270,2021-01-21 10:42:00-05:00
223,223,108.33,108.33,108.26,108.28,1400,2021-01-21 10:43:00-05:00
224,224,108.27,108.27,108.19,108.19,1440,2021-01-21 10:44:00-05:00
225,225,108.24,108.28,108.19,108.26,3371,2021-01-21 10:45:00-05:00
226,226,108.2947,108.2947,108.21,108.24,12862,2021-01-21 10:46:00-05:00
227,227,108.24,108.54,108.24,108.3967,22505,2021-01-21 10:47:00-05:00
228,228,108.377,108.575,108.34,108.575,17870,2021-01-21 10:48:00-05:00
229,229,108.53,108.64,108.53,108.57,1000,2021-01-21 10:49:00-05:00
